ESTADO,LAT,LONG,,
AGUASCALIENTES,21.876,-102.296,,
BAJA CALIFORNIA,32.663333,-115.467778,,
BAJA CALIFORNIA SUR,25.85,-111.96666,,
CAMPECHE,19.85,-90.530556,,
CHIAPAS,16.752778,-93.116667,,
CHIHUAHUA,28.635278,-106.088889,,
COAHUILA,25.433333,-101,,
COLIMA,19.243333,-103.724722,,
CIUDAD DE MEXICO,19.4364457,-99.1337515,,
DISTRITO FEDERAL,19.4364457,-99.1337515,,
DURANGO,24.016667,-104.666667,,
GUANAJUATO,21.017778,-101.256667,,
GUERRERO,17.55,-99.5,,
HIDALGO,20.1,-98.75,,
JALISCO,20.676667,-103.3475,,
MEXICO,19.2925,-99.656944,,
MICHOACAN,19.768333,-101.189444,,
MORELOS,18.918611,-99.234167,,
NAYARIT,21.508333,-104.893056,,
NUEVO LEON,25.666667,-100.3,,
OAXACA,17.067778,-96.72,,
PUEBLA,19.033333,-98.183333,,
QUERETARO,20.5875,-100.392778,,
QUINTANA ROO,18.503611,-88.305278,,
SAN LUIS POTOSI,22.151111,-100.976111,,
SINALOA,24.806944,-107.393889,,
SONORA,29.098889,-110.954167,,
TABASCO,17.989167,-92.928056,,
TAMAULIPAS,23.733333,-99.133333,,
TLAXCALA,19.3125,-98.24,,
VERACRUZ,19.54,-96.933056,,
YUCATAN,20.97,-89.62,,
ZACATECAS,22.7735912,-102.5762405,,
